Run directory: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/pendulum_stnn
Run name: pendulum_stnn
Device: cuda
System: damped_pendulum | state_dim=2
Model type: stnn
Trainable parameters: 13,329
Epoch 100/120 | Train: 0.000739 | One-step: 0.000095
Epoch 101/120 | Train: 0.000639 | One-step: 0.000089
Epoch 102/120 | Train: 0.000604 | One-step: 0.000087
Epoch 103/120 | Train: 0.000657 | One-step: 0.000083
Epoch 104/120 | Train: 0.000654 | One-step: 0.000089
Epoch 105/120 | Train: 0.000715 | One-step: 0.000090
Epoch 106/120 | Train: 0.000614 | One-step: 0.000074
Epoch 107/120 | Train: 0.000676 | One-step: 0.000076
Epoch 108/120 | Train: 0.000749 | One-step: 0.000085
Epoch 109/120 | Train: 0.000773 | One-step: 0.000084
Epoch 110/120 | Train: 0.000687 | One-step: 0.000077
Epoch 111/120 | Train: 0.000770 | One-step: 0.000078
Epoch 112/120 | Train: 0.000615 | One-step: 0.000068
Epoch 113/120 | Train: 0.000849 | One-step: 0.000080
Epoch 114/120 | Train: 0.000889 | One-step: 0.000065
Epoch 115/120 | Train: 0.000775 | One-step: 0.000064
Epoch 116/120 | Train: 0.000858 | One-step: 0.000072
Epoch 117/120 | Train: 0.000861 | One-step: 0.000077
Epoch 118/120 | Train: 0.000966 | One-step: 0.000077
Epoch 119/120 | Train: 0.000895 | One-step: 0.000078
Epoch 120/120 | Train: 0.000901 | One-step: 0.000072 | Val one-step: 0.000072 | RMSE@20: 0.1000 | RMSE@80: 0.3244 | RMSE@150: 0.5258
Training complete.
Best validation metric (rollout_rmse_h80): 0.324364
Test one-step MSE: 0.000085
Test RMSE@20: 0.113249
Test RMSE@80: 0.424467
Test RMSE@150: 0.792421
Artifacts saved to: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/pendulum_stnn
