Run directory: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/forced_duffing_stnn
Run name: forced_duffing_stnn
Device: cuda
System: forced_duffing | state_dim=3
Model type: stnn
Trainable parameters: 19,484
Epoch 096/140 | Train: 0.007993 | One-step: 0.001247
Epoch 097/140 | Train: 0.008668 | One-step: 0.001227
Epoch 098/140 | Train: 0.008283 | One-step: 0.001115
Epoch 099/140 | Train: 0.008743 | One-step: 0.001248
Epoch 100/140 | Train: 0.008042 | One-step: 0.001097 | Val one-step: 0.000983 | RMSE@40: 0.8098 | RMSE@120: 1.5233 | RMSE@240: 1.5578
Epoch 101/140 | Train: 0.008391 | One-step: 0.001094
Epoch 102/140 | Train: 0.009221 | One-step: 0.001300
Epoch 103/140 | Train: 0.009451 | One-step: 0.001199
Epoch 104/140 | Train: 0.009681 | One-step: 0.001155
Epoch 105/140 | Train: 0.009294 | One-step: 0.001202
Epoch 106/140 | Train: 0.008321 | One-step: 0.000969
Epoch 107/140 | Train: 0.010087 | One-step: 0.001102
Epoch 108/140 | Train: 0.009965 | One-step: 0.001109
Epoch 109/140 | Train: 0.008521 | One-step: 0.000964
Epoch 110/140 | Train: 0.008922 | One-step: 0.000959
Epoch 111/140 | Train: 0.009283 | One-step: 0.000961
Epoch 112/140 | Train: 0.009550 | One-step: 0.000943
Epoch 113/140 | Train: 0.009472 | One-step: 0.000879
Epoch 114/140 | Train: 0.010428 | One-step: 0.001045
Epoch 115/140 | Train: 0.010303 | One-step: 0.001003
Epoch 116/140 | Train: 0.009895 | One-step: 0.000879
Epoch 117/140 | Train: 0.011040 | One-step: 0.000989
Epoch 118/140 | Train: 0.010277 | One-step: 0.000976
Epoch 119/140 | Train: 0.010541 | One-step: 0.000901
Epoch 120/140 | Train: 0.010617 | One-step: 0.000927 | Val one-step: 0.000881 | RMSE@40: 0.6686 | RMSE@120: 1.0945 | RMSE@240: 1.0859
Epoch 121/140 | Train: 0.012775 | One-step: 0.000974
Epoch 122/140 | Train: 0.011493 | One-step: 0.000925
Epoch 123/140 | Train: 0.011424 | One-step: 0.000893
Epoch 124/140 | Train: 0.011988 | One-step: 0.001033
Epoch 125/140 | Train: 0.012512 | One-step: 0.000903
Epoch 126/140 | Train: 0.011248 | One-step: 0.000891
Epoch 127/140 | Train: 0.011982 | One-step: 0.000935
Epoch 128/140 | Train: 0.012059 | One-step: 0.000869
Epoch 129/140 | Train: 0.013738 | One-step: 0.000869
Epoch 130/140 | Train: 0.014100 | One-step: 0.000973
Epoch 131/140 | Train: 0.016735 | One-step: 0.000904
Epoch 132/140 | Train: 0.013765 | One-step: 0.000857
Epoch 133/140 | Train: 0.016217 | One-step: 0.000890
Epoch 134/140 | Train: 0.014742 | One-step: 0.000846
Epoch 135/140 | Train: 0.015928 | One-step: 0.000832
Epoch 136/140 | Train: 0.017034 | One-step: 0.000888
Epoch 137/140 | Train: 0.017098 | One-step: 0.000869
Epoch 138/140 | Train: 0.017394 | One-step: 0.000867
Epoch 139/140 | Train: 0.017591 | One-step: 0.000881
Epoch 140/140 | Train: 0.017108 | One-step: 0.000800 | Val one-step: 0.000824 | RMSE@40: 0.6464 | RMSE@120: 0.9963 | RMSE@240: 0.9948
Training complete.
Best validation metric (rollout_rmse_h120): 0.996343
Test one-step MSE: 0.000897
Test RMSE@40: 0.646880
Test RMSE@120: 0.925334
Test RMSE@240: 0.931743
Artifacts saved to: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/forced_duffing_stnn
