Run directory: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/duffing_stnn
Run name: duffing_stnn
Device: cuda
System: duffing | state_dim=2
Model type: stnn
Trainable parameters: 13,329
Epoch 097/140 | Train: 0.003826 | One-step: 0.000781
Epoch 098/140 | Train: 0.004047 | One-step: 0.000786
Epoch 099/140 | Train: 0.003251 | One-step: 0.000715
Epoch 100/140 | Train: 0.003491 | One-step: 0.000598 | Val one-step: 0.000646 | RMSE@40: 0.3813 | RMSE@120: 0.6313 | RMSE@240: 0.7278
Epoch 101/140 | Train: 0.003662 | One-step: 0.000666
Epoch 102/140 | Train: 0.003554 | One-step: 0.000482
Epoch 103/140 | Train: 0.003489 | One-step: 0.000598
Epoch 104/140 | Train: 0.003366 | One-step: 0.000578
Epoch 105/140 | Train: 0.003504 | One-step: 0.000621
Epoch 106/140 | Train: 0.002863 | One-step: 0.000463
Epoch 107/140 | Train: 0.003364 | One-step: 0.000552
Epoch 108/140 | Train: 0.003698 | One-step: 0.000550
Epoch 109/140 | Train: 0.003245 | One-step: 0.000522
Epoch 110/140 | Train: 0.003484 | One-step: 0.000647
Epoch 111/140 | Train: 0.003191 | One-step: 0.000530
Epoch 112/140 | Train: 0.003753 | One-step: 0.000541
Epoch 113/140 | Train: 0.003411 | One-step: 0.000481
Epoch 114/140 | Train: 0.003762 | One-step: 0.000515
Epoch 115/140 | Train: 0.003949 | One-step: 0.000670
Epoch 116/140 | Train: 0.003599 | One-step: 0.000541
Epoch 117/140 | Train: 0.004898 | One-step: 0.000749
Epoch 118/140 | Train: 0.004618 | One-step: 0.000582
Epoch 119/140 | Train: 0.004107 | One-step: 0.000545
Epoch 120/140 | Train: 0.005052 | One-step: 0.000534 | Val one-step: 0.000599 | RMSE@40: 0.3111 | RMSE@120: 0.4886 | RMSE@240: 0.5703
Epoch 121/140 | Train: 0.004134 | One-step: 0.000455
Epoch 122/140 | Train: 0.004766 | One-step: 0.000606
Epoch 123/140 | Train: 0.005823 | One-step: 0.000758
Epoch 124/140 | Train: 0.005301 | One-step: 0.000652
Epoch 125/140 | Train: 0.005306 | One-step: 0.000733
Epoch 126/140 | Train: 0.004442 | One-step: 0.000653
Epoch 127/140 | Train: 0.004906 | One-step: 0.000524
Epoch 128/140 | Train: 0.004455 | One-step: 0.000543
Epoch 129/140 | Train: 0.005667 | One-step: 0.000559
Epoch 130/140 | Train: 0.005168 | One-step: 0.000619
Epoch 131/140 | Train: 0.004714 | One-step: 0.000579
Epoch 132/140 | Train: 0.005105 | One-step: 0.000554
Epoch 133/140 | Train: 0.004740 | One-step: 0.000521
Epoch 134/140 | Train: 0.006224 | One-step: 0.000702
Epoch 135/140 | Train: 0.004749 | One-step: 0.000395
Epoch 136/140 | Train: 0.006436 | One-step: 0.000569
Epoch 137/140 | Train: 0.006296 | One-step: 0.000457
Epoch 138/140 | Train: 0.006874 | One-step: 0.000581
Epoch 139/140 | Train: 0.005724 | One-step: 0.000528
Epoch 140/140 | Train: 0.007485 | One-step: 0.000578 | Val one-step: 0.000559 | RMSE@40: 0.2915 | RMSE@120: 0.4760 | RMSE@240: 0.6740
Training complete.
Best validation metric (rollout_rmse_h120): 0.475964
Test one-step MSE: 0.000615
Test RMSE@40: 0.318280
Test RMSE@120: 0.511205
Test RMSE@240: 0.684041
Artifacts saved to: /cluster/home/llingsch/SAM/StNN/output/rebuttal_runs/duffing_stnn
